solution_id,method,f1_total_cost_USD,f2_one_minus_recall,f3_latency_seconds,f4_traffic_disruption_hours,f5_carbon_emissions_kgCO2e_year,f6_system_reliability_inverse_MTBF,g1,g2,g3,g4,g5,detection_recall,system_MTBF_hours,is_feasible,time_seconds,sensor,algorithm,weight_id
0,WeightedSumNSGA2Baseline,231041.20879120877,0.07599999999999996,65.0,200.0,3.65292,2e-05,-435.0,-0.32400000000000007,-9768958.79120879,-299996.34708,-48500.0,0.924,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,DL_MaskRCNN_ResNet50,0
1,WeightedSumNSGA2Baseline,231041.20879120877,0.010000000000000009,65.0,200.0,3.65292,2e-05,-435.0,-0.39,-9768958.79120879,-299996.34708,-48500.0,0.99,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,Hybrid_CNN_SVM,0
2,WeightedSumNSGA2Baseline,231041.20879120877,0.244,65.0,200.0,3.65292,2e-05,-435.0,-0.15600000000000003,-9768958.79120879,-299996.34708,-48500.0,0.756,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,DL_MaskRCNN_ResNet50,0
3,WeightedSumNSGA2Baseline,231041.20879120877,0.244,65.0,200.0,3.65292,2e-05,-435.0,-0.15600000000000003,-9768958.79120879,-299996.34708,-48500.0,0.756,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,DL_MaskRCNN_ResNet50,0
4,WeightedSumNSGA2Baseline,231041.20879120877,0.244,65.0,200.0,3.65292,2e-05,-435.0,-0.15600000000000003,-9768958.79120879,-299996.34708,-48500.0,0.756,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,DL_MaskRCNN_ResNet50,0
5,WeightedSumNSGA2Baseline,231041.20879120877,0.244,65.0,200.0,3.65292,2e-05,-435.0,-0.15600000000000003,-9768958.79120879,-299996.34708,-48500.0,0.756,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,DL_MaskRCNN_ResNet50,0
6,WeightedSumNSGA2Baseline,231041.20879120877,0.244,65.0,200.0,3.65292,2e-05,-435.0,-0.15600000000000003,-9768958.79120879,-299996.34708,-48500.0,0.756,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,DL_MaskRCNN_ResNet50,0
7,WeightedSumNSGA2Baseline,231041.20879120877,0.07599999999999996,65.0,200.0,3.65292,2e-05,-435.0,-0.32400000000000007,-9768958.79120879,-299996.34708,-48500.0,0.924,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,DL_MaskRCNN_ResNet50,0
8,WeightedSumNSGA2Baseline,231041.20879120877,0.07599999999999996,65.0,200.0,3.65292,2e-05,-435.0,-0.32400000000000007,-9768958.79120879,-299996.34708,-48500.0,0.924,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,DL_MaskRCNN_ResNet50,0
9,WeightedSumNSGA2Baseline,231041.20879120877,0.244,65.0,200.0,3.65292,2e-05,-435.0,-0.15600000000000003,-9768958.79120879,-299996.34708,-48500.0,0.756,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,DL_MaskRCNN_ResNet50,0
10,WeightedSumNSGA2Baseline,231041.20879120877,0.244,65.0,200.0,3.65292,2e-05,-435.0,-0.15600000000000003,-9768958.79120879,-299996.34708,-48500.0,0.756,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,DL_MaskRCNN_ResNet50,0
11,WeightedSumNSGA2Baseline,231041.20879120877,0.07599999999999996,65.0,200.0,3.65292,2e-05,-435.0,-0.32400000000000007,-9768958.79120879,-299996.34708,-48500.0,0.924,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,DL_MaskRCNN_ResNet50,0
12,WeightedSumNSGA2Baseline,231041.20879120877,0.244,65.0,200.0,3.65292,2e-05,-435.0,-0.15600000000000003,-9768958.79120879,-299996.34708,-48500.0,0.756,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,DL_MaskRCNN_ResNet50,0
13,WeightedSumNSGA2Baseline,231041.20879120877,0.244,65.0,200.0,3.65292,2e-05,-435.0,-0.15600000000000003,-9768958.79120879,-299996.34708,-48500.0,0.756,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,DL_MaskRCNN_ResNet50,0
14,WeightedSumNSGA2Baseline,231041.20879120877,0.16299999999999992,65.0,200.0,3.65292,2e-05,-435.0,-0.2370000000000001,-9768958.79120879,-299996.34708,-48500.0,0.8370000000000001,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,Hybrid_CNN_SVM,0
15,WeightedSumNSGA2Baseline,231041.20879120877,0.010000000000000009,65.0,200.0,3.65292,2e-05,-435.0,-0.39,-9768958.79120879,-299996.34708,-48500.0,0.99,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,DL_AttentionUNet_Crack,0
16,WeightedSumNSGA2Baseline,231041.20879120877,0.07599999999999996,65.0,200.0,3.65292,2e-05,-435.0,-0.32400000000000007,-9768958.79120879,-299996.34708,-48500.0,0.924,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,DL_MaskRCNN_ResNet50,0
17,WeightedSumNSGA2Baseline,231041.20879120877,0.244,65.0,200.0,3.65292,2e-05,-435.0,-0.15600000000000003,-9768958.79120879,-299996.34708,-48500.0,0.756,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,DL_MaskRCNN_ResNet50,0
18,WeightedSumNSGA2Baseline,231041.20879120877,0.16299999999999992,65.0,200.0,3.65292,2e-05,-435.0,-0.2370000000000001,-9768958.79120879,-299996.34708,-48500.0,0.8370000000000001,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,DL_AttentionUNet_Crack,0
19,WeightedSumNSGA2Baseline,231041.20879120877,0.244,65.0,200.0,3.65292,2e-05,-435.0,-0.15600000000000003,-9768958.79120879,-299996.34708,-48500.0,0.756,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,DL_MaskRCNN_ResNet50,0
20,WeightedSumNSGA2Baseline,231041.20879120877,0.07599999999999996,65.0,200.0,3.65292,2e-05,-435.0,-0.32400000000000007,-9768958.79120879,-299996.34708,-48500.0,0.924,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,DL_MaskRCNN_ResNet50,0
21,WeightedSumNSGA2Baseline,231041.20879120877,0.244,65.0,200.0,3.65292,2e-05,-435.0,-0.15600000000000003,-9768958.79120879,-299996.34708,-48500.0,0.756,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,DL_MaskRCNN_ResNet50,0
22,WeightedSumNSGA2Baseline,231041.20879120877,0.07599999999999996,65.0,200.0,3.65292,2e-05,-435.0,-0.32400000000000007,-9768958.79120879,-299996.34708,-48500.0,0.924,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,DL_MaskRCNN_ResNet50,0
23,WeightedSumNSGA2Baseline,231041.20879120877,0.244,65.0,200.0,3.65292,2e-05,-435.0,-0.15600000000000003,-9768958.79120879,-299996.34708,-48500.0,0.756,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,DL_MaskRCNN_ResNet50,0
24,WeightedSumNSGA2Baseline,231041.20879120877,0.244,65.0,200.0,3.65292,2e-05,-435.0,-0.15600000000000003,-9768958.79120879,-299996.34708,-48500.0,0.756,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,DL_MaskRCNN_ResNet50,0
25,WeightedSumNSGA2Baseline,231041.20879120877,0.010000000000000009,65.0,200.0,3.65292,2e-05,-435.0,-0.39,-9768958.79120879,-299996.34708,-48500.0,0.99,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,Hybrid_CNN_SVM,0
26,WeightedSumNSGA2Baseline,231041.20879120877,0.16299999999999992,65.0,200.0,3.65292,2e-05,-435.0,-0.2370000000000001,-9768958.79120879,-299996.34708,-48500.0,0.8370000000000001,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,Hybrid_CNN_SVM,0
27,WeightedSumNSGA2Baseline,231041.20879120877,0.07599999999999996,65.0,200.0,3.65292,2e-05,-435.0,-0.32400000000000007,-9768958.79120879,-299996.34708,-48500.0,0.924,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,DL_MaskRCNN_ResNet50,0
28,WeightedSumNSGA2Baseline,231041.20879120877,0.244,65.0,200.0,3.65292,2e-05,-435.0,-0.15600000000000003,-9768958.79120879,-299996.34708,-48500.0,0.756,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,DL_MaskRCNN_ResNet50,0
29,WeightedSumNSGA2Baseline,231041.20879120877,0.244,65.0,200.0,3.65292,2e-05,-435.0,-0.15600000000000003,-9768958.79120879,-299996.34708,-48500.0,0.756,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,DL_MaskRCNN_ResNet50,0
30,WeightedSumNSGA2Baseline,231041.20879120877,0.244,65.0,200.0,3.65292,2e-05,-435.0,-0.15600000000000003,-9768958.79120879,-299996.34708,-48500.0,0.756,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,DL_MaskRCNN_ResNet50,0
31,WeightedSumNSGA2Baseline,231041.20879120877,0.244,65.0,200.0,3.65292,2e-05,-435.0,-0.15600000000000003,-9768958.79120879,-299996.34708,-48500.0,0.756,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,DL_MaskRCNN_ResNet50,0
32,WeightedSumNSGA2Baseline,231041.20879120877,0.07599999999999996,65.0,200.0,3.65292,2e-05,-435.0,-0.32400000000000007,-9768958.79120879,-299996.34708,-48500.0,0.924,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,DL_MaskRCNN_ResNet50,0
33,WeightedSumNSGA2Baseline,231041.20879120877,0.010000000000000009,65.0,200.0,3.65292,2e-05,-435.0,-0.39,-9768958.79120879,-299996.34708,-48500.0,0.99,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,DL_AttentionUNet_Crack,0
34,WeightedSumNSGA2Baseline,231041.20879120877,0.07599999999999996,65.0,200.0,3.65292,2e-05,-435.0,-0.32400000000000007,-9768958.79120879,-299996.34708,-48500.0,0.924,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,DL_MaskRCNN_ResNet50,0
35,WeightedSumNSGA2Baseline,231041.20879120877,0.244,65.0,200.0,3.65292,2e-05,-435.0,-0.15600000000000003,-9768958.79120879,-299996.34708,-48500.0,0.756,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,DL_MaskRCNN_ResNet50,0
36,WeightedSumNSGA2Baseline,231041.20879120877,0.07599999999999996,65.0,200.0,3.65292,2e-05,-435.0,-0.32400000000000007,-9768958.79120879,-299996.34708,-48500.0,0.924,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,DL_MaskRCNN_ResNet50,0
37,WeightedSumNSGA2Baseline,231041.20879120877,0.07599999999999996,65.0,200.0,3.65292,2e-05,-435.0,-0.32400000000000007,-9768958.79120879,-299996.34708,-48500.0,0.924,49999.99999999999,True,3.8350958824157715,FOS_Basic_FBG,DL_MaskRCNN_ResNet50,0
